paper_id,title,author,abstract,affiliation,address,category
251,Form(ers) Over Function(s): The KOLA Reference Manual,Mitch Cherniack,"0.1 Still To Do * 6 more fold proofs, precondition proofs * Adjust primitives for Int, Str and Char to be synchronized with the Theta operators for these types * Add floats * Add section describing preconditions * Add section on semantic optimizations, nested query optimization * Fix awk script to generate Latex version of Larch scripts without typeface glitches",,,1
252,The AQUA Approach to Querying Lists and Trees in Object-Oriented Databases,Bharathi Subramanian Theodore W. Leung,"Abstract Relational database systems and most object-oriented database systems provide support for queries. Usually these queries represent retrievals over sets or multisets. Many new applications for databases, such as multimedia systems and digital libraries, need support for queries on complex bulk types such as lists and trees. In this paper we describe an object-oriented query algebra for lists and trees. The operators in the algebra preserve the ordering between the elements of a list or tree, even when the result list or tree contains an arbitrary set of nodes from the original tree. We also present predicate languages for lists and trees which allow order-sensitive queries because they use pattern matching to examine groups of list or tree nodes rather than individual nodes. The ability to decompose predicate patterns enables optimizations that make use of indices.",Brown University Brown University,,3
253,LOCALIZED TEMPORAL REASONING USING SUBGOALS AND ABSTRACT EVENTS,"Shieu-Hong Lin, Thomas Dean 1","We are concerned with temporal reasoning problems where there is uncertainty about the order in which events occur. The task of temporal reasoning is to derive an event sequence consistent with a given set of ordering constraints to achieve a goal. Previous research shows that the associated decision problems are hard even for very restricted cases. In this paper, we investigate locality in event ordering and causal dependencies. We present a localized temporal reasoning algorithm that uses subgoals and abstract events to exploit locality. The computational efficiency of our algorithm for a problem instance is quantified by the inherent locality in the instance. We theoretically demonstrate the substantial improvement in performance gained by exploiting locality. This work provides a solid evidence of the usefulness of localized reasoning in exploiting locality.","Department of Computer Science, Brown University,","Providence, RI 02912",5
254,How good are genetic algorithms at finding large cliques: an experimental study,Bob Carter,"Abstract This paper investigates the power of genetic algorithms at solving the MAX-CLIQUE problem. We measure the performance of a standard genetic algorithm on an elementary set of problem instances consisting of embedded cliques in random graphs. We indicate the need for improvement, and introduce a new genetic algorithm, the multi-phase annealed GA, which exhibits superior performance on the same problem set. As we scale up the problem size and test on ""hard"" benchmark instances, we notice a degraded performance in the algorithm caused by premature convergence to local minima. To alleviate this problem, a sequence of modifications are implemented ranging from changes in input representation to systematic local search. The most recent version, called union GA, incorporates the features of union cross-over, greedy replacement, and diversity enhancement. It shows a marked speed-up in the number of iterations required to find a given solution, as well as some improvement in the clique size found. We discuss issues related to the SIMD implementation of the genetic algorithms on a Thinking Machines CM-5, which was necessitated by the intrinsically high time complexity (O(n 3 )) of the serial algorithm for computing one iteration. Our preliminary conclusions are: (1) a genetic algorithm needs to be heavily customized to work ""well"" for the clique problem; (2) a GA is computationally very expensive, and its use is only recommended if it is known to find larger cliques than other algorithms; (3) although our customization effort is bringing forth continued improvements, there is no clear evidence, at this time, that a GA will have better success in circumventing local minima.",Boston University Computer Science Department,"Boston, MA 02215",3
255,Implementation and Performance Evaluation of TCP Boston A Fragmentation-tolerant TCP Protocol for ATM Networks,Azer Bestavros,"ABSTRACT: In this paper, we overview the implementation of TCP Boston a novel fragmentation-tolerant transport protocol, especially suited for ATM's 53-byte cell-oriented switching architecture. TCP Boston integrates a standard TCP/IP protocol, such as Reno or Vegas, with a powerful redundancy control mechanism based on AIDAan adaptive version of Rabin's IDA dispersal and reconstruction algorithms. Our results show that TCP Boston improves TCP/IP's performance over ATMs for both network-centric metrics (e.g., effective throughput) and application-centric metrics (e.g., response time).",Computer Science Department Boston University,"Boston, MA 02215",4
256,Generating CAD-models of teeth,Peter Johannes Neugebauer,"In this paper, we present an approach for the reconstruction of teeth model. Therefore, a tooth model has to be scanned from several directions with a 3D-laser scanner. Several views are necessary because of shadows and occluded areas in the range images. Then, all acquired range views are combined to build a CAD-model of the tooth. The idea is that every part of the surface should be visible in at least one view. The reconstruction process is divided into the steps registration, volume sculpturing and generation of an accurate polygonal representation.","Fraunhofer-Institute for Computer Graphics,","Wilhelminenstrasse 7, 64283 Darmstadt, Germany,",6
257,Bias-Driven Revision of Logical Domain Theories,Moshe Koppel,"Abstract The theory revision problem is the problem of how best to go about revising a deficient domain theory using information contained in examples that expose inaccuracies. In this paper we present our approach to the theory revision problem for propositional domain theories. The approach described here, called PTR, uses probabilities associated with domain theory elements to numerically track the ``ow'' of proof through the theory. This allows us to measure the precise role of a clause or literal in allowing or preventing a (desired or undesired) derivation for a given example. This information is used to efficiently locate and repair awed elements of the theory. PTR is proved to converge to a theory which correctly classifies all examples, and shown experimentally to be fast and accurate even for deep theories.","Department of Mathematics and Computer Science, Bar-Ilan University,","Ramat-Gan, Israel",0
258,A Middleware Service for Real-Time Push-Pull Communications,Kanaka Juvva and Raj Rajkumar,"Abstract: Current and emerging real-time and multimedia applications like multi-party collaboration, internet telephony and distributed command control systems require the exchange of information over distributed and heterogeneous nodes. Multiple data types including voice, video, sensor data, real-time intelligence data and text are being transported widely across today's information, control and surveillance networks. All such applications can benefit enormously from middleware, operating system and networking services that can support QoS guarantees, high availability, dynamic reconfigurability and scalability. In this paper, we propose a middleware layer called a ""Real-Time Push-Pull Communications Service"" to easily and quickly disseminate information across heterogeneous nodes with an underlying architecture to satisfy the above-mentioned requirements. Push-Pull Communications is an extension of the real-time publisher/subscriber model [4], and represents both ""push"" (data transfer initiated by a sender) and ""pull"" (data transfer initiated by a receiver) communications. Nodes with widely differing processing power and networking bandwidth can coordinate and co-exist by the provision of appropriate and automatic support for transformation on data and supports scaling. Different information sources and sinks can operate at different frequencies and also can choose another (intermedi-ate) node to act as their proxy and and deliver data at the desired frequency. This service has been implemented on RT-Mach, a resource-centric kernel using resource kernel primitives [7]. This paper presents an overview of the design, implementation and preliminary performance evaluation of the model.",Real-Time and Multimedia Laboratory Carnegie Mellon University,Pittsburgh PA 15213,0
259,Building and Refining Abstract Planning Cases by Change of Representation Language,Ralph Bergmann,"Abstract Abstraction is one of the most promising approaches to improve the performance of problem solvers. In several domains abstraction by dropping sentences of a domain description as used in most hierarchical planners has proven useful. In this paper we present examples which illustrate significant drawbacks of abstraction by dropping sentences. To overcome these drawbacks, we propose a more general view of abstraction involving the change of representation language. We have developed a new abstraction methodology and a related sound and complete learning algorithm that allows the complete change of representation language of planning cases from concrete to abstract. However, to achieve a powerful change of the representation language, the abstract language itself as well as rules which describe admissible ways of abstracting states must be provided in the domain model. This new abstraction approach is the core of Paris (Plan Abstraction and Refinement in an Integrated System), a system in which abstract planning cases are automatically learned from given concrete cases. An empirical study in the domain of process planning in mechanical engineering shows significant advantages of the proposed reasoning from abstract cases over classical hierarchical planning.","Centre for Learning Systems and Applications (LSA) University of Kaiserslautern,","P.O.-Box 3049, D-67653 Kaiserslautern, Germany",4
260,Automation Tools for NonDestructive Inspection of Aircraft: Promise of Technology Transfer from the Civilian to the Military Sector,"Chris Seher 1 , Mel Siegel 2 , and William M. Kaufman 3","Abstract The FAA Aging Aircraft Research Program is supporting the development of a robotic mobile nondestructive inspection (NDI) instrument deployment tool at Carnegie Mellon University (CMU) with the active participation of USAir. The program has spawned several new relationships and entities: an alliance with an ARPA-funded research program at CMU having the capability to add 3D-stereoscopic enhanced visual inspection capability, a start-up company organized to commercialize the combined technologies, and State of Pennsylvania funding to foster this commercialization. As a result of these activities and connections the civilian sector appears to be ahead of the military sector in important aspects of automation for deployment of aircraft inspection equipment. A partnership between the university researchers, the airline operator, the start-up company, and the state government is thus emerging as the likely agent for transfer of the civilian-developed technology to the military sector.","1 Federal Aviation Administration, Technical Center,",Atlantic City NJ 08201,5
261,The Candide System for Machine Translation,"Adam L. Berger, Peter F. Brown , Stephen A. Della Pietra, Vincent J. Della Pietra, John R. Gillett, John D. Lafferty, Robert L. Mercer, Harry Printz, Lubos Ures","ABSTRACT We present an overview of Candide, a system for automatic translation of French text to English text. Candide uses methods of information theory and statistics to develop a probability model of the translation process. This model, which is made to accord as closely as possible with a large body of French and English sentence pairs, is then used to generate English translations of previously unseen French sentences. This paper provides a tutorial in these methods, discussions of the training and operation of the system, and a summary of test results.",IBM Thomas J. Watson Research Center,"P.O. Box 704 Yorktown Heights, NY 10598",2
262,A Simplified Account of Polymorphic References,Robert Harper,"Abstract A proof of the soundness of Tofte's imperative type discipline with respect to a structured operational semantics is given. The presentation is based on a semantic formalism that combines the benefits of the approaches considered by Wright and Felleisen, and by Tofte, leading to a particularly simple proof of soundness of Tofte's type discipline.",School of Computer Science Carnegie Mellon University,"Pittsburgh, PA 15213",3
263,New Approximation Techniques for Some Ordering Problems,Satish Rao Andrea W. Richa,"Abstract We describe logarithmic times optimal approximation algorithms for the NP-hard graph optimization problems of minimum linear arrangement, minimum containing interval graph, and minimum storage-time product. This improves on the best previous approximation bounds of Even, Naor, Rao, and Schieber for these problems by an (log log n) factor. Even, Naor, Rao, and Schieber defined ""spreading metrics"" for each of the ordering problems above (and to other problems); for each of these problems, they provided a spreading metric of volume W , such that W is a lower bound on the cost of a solution to the problem. They used this spreading metric to find a solution of cost O(W log n log log n) (for simplicity, assume that all tasks have unit processing time in the minimum storage-time product problem). In this paper, we show how to find a solution within a logarithmic factor times W for these problems. We develop a recursion where at each level we identify cost which, if incurred, yields subproblems with reduced spreading metric volume. Specifically, we present a divide-and-conquer strategy where the cost of a solution to a problem at a recursive level is C plus the cost of a solution to the subproblems at this level, and where the spreading metric volume on the subproblems is less than the original volume by (C= log n). This ensures that the resulting solution has cost O(log n) times the original spreading metric volume. We note that this is an existentially tight bound on the relationship between the spreading metric volume W and the true optimal values for these problems. For planar graphs, we combine a structural theorem of Klein, Plotkin, and Rao with our new recursion technique to show that the spreading metric cost volumes are within an O(log log n) factor of the cost of an optimal solution for the minimum linear arrangement, and the minimum containing interval graph problems.",,,6
264,Implementing Distributed Server Groups for the World Wide Web,"Michael Garland, Sebastian Grassia, Robert Monroe, Siddhartha Puri","Abstract The World Wide Web (WWW) has recently become a very popular facility for the dissemination of information. As a result of this popularity, it is experiencing rapidly increasing traffic load. Single machine servers cannot keep pace with the ever greater load being placed upon them. To alleviate this problem, we have implemented a distributed Web server group. The server group can effectively balance request load amongst its members (within about 10% of optimal), and client response time is no worse than in the single server case. Client response time was not improved because the measured client traffic consumed all available network throughput. The distributed operation of the server groups is completely transparent to standard Web clients.",School of Computer Science Carnegie Mellon University,"Pittsburgh, Pennsylvania 15213-3890",2
265,Performance Measurements of the Multimedia Testbed on Real-Time Mach,"Roger B. Dannenberg, David B. Anderson, Tom Neuendorffer, Dean Rubine","Abstract Multimedia has generated widespread interest in real-time support within general purpose operating systems. Multimedia also places new demands on operating systems for interprocess communication. The Multimedia Testbed is a set of applications that stress consistent low-latency response and efficient interprocess communication for large blocks of data. The Multimedia Testbed was ported to Real-Time Mach in the hopes of providing predictable low-latency response and, consequently, good synchronization and low jitter as required for multimedia applications. Our work compares the performance of Real-Time Mach with that of Mach 3.0. Although the fixed-priority scheduling of Real-Time Mach is a substantial improvement, user threads are still preempted by device drivers, and the overall real-time performance is not suitable for multimedia applications. We discuss areas where Real-Time Mach needs improvement.",School of Computer Science Carnegie Mellon University,"Pittsburgh, PA 15213-3890",5
266,Moving target classification and tracking from real-time video,Alan J. Lipton Hironobu Fujiyoshi Raju S. Patil,"Abstract This paper describes an end-to-end method for extracting moving targets from a real-time video stream, classifying them into predefined categories according to image-based properties, and then robustly tracking them. Moving targets are detected using the pixelwise difference between consecutive image frames. A classi-ficatoin metric is applied these targets with a temporal consistency constraint to classify them into three categories: human, vehicle or background clutter. Once classified, targets are tracked by a combination of temporal differencing and template matching. The resulting system robustly identifies targets of interest, rejects background clutter, and continually tracks over large distances and periods of time despite occlusions, appearance changes and cessation of target motion.",The Robotics Institute. Carnegie Mellon University,"5000 Forbes Avenue, Pittsburgh, PA, 15213",5
267,TIGHT ANALYSES OF TWO LOCAL LOAD BALANCING ALGORITHMS,BHASKAR GHOSH 1 F. T. LEIGHTON 2 BRUCE M. MAGGS 3;4 S. MUTHUKRISHNAN 5 C. GREG PLAXTON 6;7 R. RAJARAMAN 6;7 ANDR EA W. RICHA 3;4 ROBERT E. TARJAN 8 DAVID ZUCKERMAN 6;9,"Abstract. This paper presents an analysis of the following load balancing algorithm. At each step, each node in a network examines the number of tokens at each of its neighbors and sends a token to each neighbor with at least 2d + 1 fewer tokens, where d is the maximum degree of any node in the network. We show that within O(=ff) steps, the algorithm reduces the maximum difference in tokens between any two nodes to at most O((d 2 log n)=ff), where is the global imbalance in tokens (i.e., the maximum difference between the number of tokens at any node initially and the average number of tokens), n is the number of nodes in the network, and ff is the edge expansion of the network. The time bound is tight in the sense that for any graph with edge expansion ff, and for any value , there exists an initial distribution of tokens with imbalance for which the time to reduce the imbalance to even =2 is at least (=ff). The bound on the final imbalance is tight in the sense that there exists a class of networks that can be locally balanced everywhere (i.e., the maximum difference in tokens between any two neighbors is at most 2d), while the global imbalance remains ((d 2 log n)=ff). Furthermore, we show that upon reaching a state with a global imbalance of O((d 2 log n)=ff), the time for this algorithm to locally balance the network can be as large as (n 1=2 ). We extend our analysis to a variant of this algorithm for dynamic and asynchronous networks. We also present tight bounds for a randomized algorithm in which each node sends at most one token in each step.",,,5
268,A Note on Learning from Multiple-Instance  Examples,AVRIM BLUM,"Abstract. We describe a simple reduction from the problem of PAC-learning from multiple-instance examples to that of PAC-learning with one-sided random classification noise. Thus, all concept classes learnable with one-sided noise, which includes all concepts learnable in the usual 2-sided random noise model plus others such as the parity function, are learnable from multiple-instance examples. We also describe a more efficient (and somewhat technically more involved) reduction to the Statistical-Query model that results in a polynomial-time algorithm for learning axis-parallel rectangles with sample complexity ~ O(d 2 r=* 2 ), saving roughly a factor of r over the results of Auer et al. (1997).","School of Computer Science, Carnegie Mellon University,","Pittsburgh, PA 15213",0
269,Interactive Physically-Based Manipulation of Discrete/Continuous Models,Mikako Harada,"Abstract Physically-based modeling has been used in the past to support a variety of interactive modeling tasks including free-form surface design, mechanism design, constrained drawing, and interactive camera control. In these systems, the user interacts with the model by exerting virtual forces, to which the system responds subject to the active constraints. In the past, this kind of interaction has been applicable only to models that are governed by continuous parameters. In this paper we present an extension to mixed con-tinuous/discrete models, emphasizing constrained layout problems that arise in architecture and other domains. When the object being dragged is blocked from further motion by geometric constraints, a local discrete search is triggered, during which transformations such as swapping of adjacent objects may be performed. The result of the search is a nearby state in which the target object has been moved in the indicated direction and in which all constraints are satisfied. The transition to this state is portrayed using simple but effective animated visual effects. Following the transition, continuous dragging is resumed. The resulting seamless transitions between discrete and continuous manipulation allow the user to easily explore the mixed design space just by dragging objects. We demonstrate the method in application to architectural floor plan design, circuit board layout, art analysis, and page layout.",Department of Architecture,"Pittsburgh, PA 15213",2
270,Mixed-Initiative Management of Integrated Process-Planning and Production-Scheduling Solutions,"David W. Hildum, Norman M. Sadeh, Thomas J. Laliberty,  Stephen F. Smith, John McA'Nulty and Dag Kjenstad","Abstract Increased reliance on agile manufacturing techniques has created a demand for systems to solve integrated process-planning and production-scheduling problems in large-scale dynamic environments. To be effective, these systems should provide user-oriented interactive functionality for managing the various user tasks and objectives and reacting to unexpected events. This paper describes the mixed-initiative problem-solving features of IP3S, an Integrated Process-Planning/Production-Scheduling shell for agile manufacturing. IP3S is a blackboard -based system that supports the concurrent development and dynamic revision of integrated process-planning and production-scheduling solutions and the maintenance of multiple problem instances and solutions, as well as other flexible user-oriented decision-making capabilities, allowing the user to control the scope of the problem and explore alternate tradeoffs (what-if scenarios) interactively. The system is scheduled for initial deployment and evaluation in a large and highly dynamic machine shop at Raytheon's Andover manufacturing facility.",Intelligent Coordination and Logistics Laboratory Center for Integrated Manufacturing Decision Systems The Robotics Institute Carnegie Mellon University,Pittsburgh PA 15213-3890,3
271,Operant Conditioning in Skinnerbots,David S. Touretzky,"Abstract Instrumental (or operant) conditioning, a form of animal learning, is similar to reinforcement learning (Watkins, 1989) in that it allows an agent to adapt its actions to gain maximally from the environment while only being rewarded for correct performance. But animals learn much more complicated behaviors through instrumental conditioning than robots presently acquire through reinforcement learning. We describe a new computational model of the conditioning process that attempts to capture some of the aspects that are missing from simple reinforcement learning: conditioned reinforcers, shifting reinforcement contingencies, explicit action sequencing, and state space refinement. We apply our model to a task commonly used to study working memory in rats and monkeys: the DMTS (Delayed Match to Sample) task. Animals learn this task in stages. In simulation, our model also acquires the task in stages, in a similar manner. We have used the model to train an RWI B21 robot.",Computer Science Department & Center for the Neural Basis of Cognition Carnegie Mellon University,"Pittsburgh, PA 15213-3891",0
272,Improving Text Classification by Shrinkage in a Hierarchy of Classes,Andrew McCallum,"Abstract When documents are organized in a large number of topic categories, the categories are often arranged in a hierarchy. The U.S. patent database and Yahoo are two examples. This paper shows that the accuracy of a naive Bayes text classifier can be significantly improved by taking advantage of a hierarchy of classes. We adopt an established statistical technique called shrinkage that smoothes parameter estimates of a data-sparse child with its parent in order to obtain more robust parameter estimates. The approach is also employed in deleted interpolation, a technique for smoothing n-grams in language modeling for speech recognition. Our method scales well to large data sets, with numerous categories in large hierarchies. Experimental results on three real-world data sets from UseNet, Yahoo, and corporate web pages show improved performance, with a reduction in error up to 29% over the tradi tional flat classifier.",Just Research,"4616 Henry Street Pittsburgh, PA 15213",4
273,Remote Access to Interactive Media,Roger B. Dannenberg,"ABSTRACT Digital interactive media augments interactive computing with video, audio, computer graphics and text, allowing multimedia presentations to be individually and dynamically tailored to the user. Multimedia, and particularly continuous media pose interesting problems for system designers, including those of latency and synchronization. These problems are especially evident when multimedia data is remote and must be accessed via networks. Latency and synchronization issues are discussed, and an integrated system, Tactus, is described. Tactus facilitates the implementation of interactive multimedia computer programs by managing latency and synchronization in the framework of an object-oriented graphical user interface toolkit.","Carnegie Mellon University, School of Computer Science","Pittsburgh, PA 15213 USA",0
274,Informing Memory Operations: Providing Memory Performance Feedback in Modern Processors,Mark Horowitz Margaret Martonosi Todd C. Mowry Michael D. Smith,"Abstract Memory latency is an important bottleneck in system performance that cannot be adequately solved by hardware alone. Several promising software techniques have been shown to address this problem successfully in specific situations. However, the generality of these software approaches has been limited because current architectures do not provide a fine-grained, low-overhead mechanism for observing and reacting to memory behavior directly. To fill this need, we propose a new class of memory operations called informing memory operations, which essentially consist of a memory operation combined (either implicitly or explicitly) with a conditional branch-and-link operation that is taken only if the reference suffers a cache miss. We describe two different implementations of informing memory operationsone based on a cache-outcome condition code and another based on low-overhead trapsand find that modern in-order-issue and out-of-order-issue superscalar processors already contain the bulk of the necessary hardware support. We describe how a number of software-based memory optimizations can exploit informing memory operations to enhance performance, and look at cache coherence with fine-grained access control as a case study. Our performance results demonstrate that the runtime overhead of invoking the informing mechanism on the Alpha 21164 and MIPS R10000 processors is generally small enough to provide considerable exibility to hardware and software designers, and that the cache coherence application has improved performance compared to other current solutions. We believe that the inclusion of informing memory operations in future processors may spur even more innovative performance optimizations.",Computer Systems Department of Department of Electrical Division of Laboratory Electrical Engineering and Computer Engineering Applied Sciences Stanford University Princeton University University of Toronto Harvard University,,3
275,A Simple Algorithm for Finding the Maximum Recoverable System State in Optimistic Rollback Recovery Methods,David B. Johnson Peter J. Keleher Willy Zwaenepoel,,Department of Computer Science Rice University,"P.O. Box 1892 Houston, Texas 77251-1892",0
276,Towards a Principled Representation of Discourse Plans,R. Michael Young Johanna D. Moore Martha E. Pollack,"Abstract We argue that discourse plans must capture the intended causal and decompositional relations between communicative actions. We present a planning algorithm, DPOCL, that builds plan structures that properly capture these relations, and show how these structures are used to solve the problems that plagued previous discourse planners, and allow a system to participate effectively and flexibly in an ongoing dialogue. A version of this paper appears in the Proceedings of the Sixteenth Annual Meeting of the Cognitive Science Society, Atlanta, GA, 1994.",,,4
277,"NIFDY: A Low Overhead, High Throughput Network Interface",Timothy Callahan and Seth Copen Goldstein,"Abstract In this paper we present NIFDY, a network interface that uses admission control to reduce congestion and ensures that packets are received by a processor in the order in which they were sent, even if the underlying network delivers the packets out of order. The basic idea behind NIFDY is that each processor is allowed to have at most one outstanding packet to any other processor unless the destination processor has granted the sender the right to send multiple unacknowledged packets. Further, there is a low upper limit on the number of outstanding packets to all processors. We present results from simulations of a variety of networks (meshes, tori, butterflies, and fat trees) and traffic patterns to verify NIFDY's efficacy. Our simulations show that NIFDY increases throughput and decreases overhead. The utility of NIFDY increases as a network's bisection bandwidth decreases. When combined with the increased payload allowed by in-order delivery NIFDY increases total bandwidth delivered for all networks. The resources needed to implement NIFDY are small and constant with respect to network size.",Computer Science Division University of California-Berkeley,,0
278,Exploiting Global Input/Output Access Pattern Classification,Tara M. Madhyastha Daniel A. Reed,,Department of Computer Science University of Illinois,"Urbana, Illinois 61801",3
279,SUPRENUM: Perspectives and Performance,Oliver A. McBryan,"Abstract We describe our impressions of the SUPRENUM project and of its primary supercomputer result, the Suprenum-1 prototype. We comment on the significance of the architecture, its role among contemporary systems and its relevance to current systems. We similarly discuss the SUPRENUM software and its impact on distributed systems. Finally we discuss the successes and failures observed throughout this exciting project and relate these to the organizational decisions on which SUPRENUM was based. As an illustration of Suprenum-1 capabilities, we describe the implementation of a fluid dynamical benchmark on the 256 node Suprenum-1 parallel computer. The benchmark, the Shallow Water Equations, is frequently used as a model for both oceanographic and atmospheric circulation. We describe the steps involved in implementing the algorithm on the Suprenum-1 and we provide details of performance obtained. For such regular grid-based algorithms the system delivers a very impressive fraction (25%) of its theoretical peak rate of 5 Gflops.",Dept. of Computer Science University of Colorado,"Boulder, CO 80309.",4
280,The Sybil Database Integration and Evolution Environment: An Overview,"Roger King, Michael Novak, Christian Och, Richard Osborne","Abstract Sybil is a database integration and evolution environment for supporting large, heterogeneous applications. We are interested in using Sybil to support the data integration and evolution needs of applications that are using legacy databases and are looking to integrate with more modern database systems. The Sybil approach is based on loosely coupling databases or other persistent tools into lightweight alliances tailored for specific applications. Such alliances are built via four sorts of constructs: heterogeneous views, inter-database constraints, inter-database propagations, and integration supported by domain specific information.",Department of Computer Science University of Colorado,"Campus Box 430 Boulder, CO 80309-0430",0
281,Goal-Directed Classification using Linear Machine Decision Trees,Bruce A. Draper Carla E. Brodley Paul E. Utgoff,"Abstract Recent work in feature-based classification has focused on non-parametric techniques that can classify instances even when the underlying feature distributions are unknown. The inference algorithms for training these techniques, however, are designed to maximize the accuracy of the classifier, with all errors weighted equally. In many applications, certain errors are far more costly than others, and the need arises for non-parametric classification techniques that can be trained to optimize task-specific cost functions. This paper reviews the Linear Machine Decision Tree (LMDT) algorithm for inducing multivariate decision trees, and shows how LMDT can be altered to induce decision trees that minimize arbitrary misclassification cost functions (MCFs). Demonstrations of pixel classification in outdoor scenes show how MCFs can optimize the performance of embedded classifiers within the context of larger image understand ing systems.",Department of Computer Science University of Massachusetts,"Amherst, MA., USA. 01003",6
282,Efficient Indexing for Object Recognition Using Large Networks,Mark R. Stevens Charles W. Anderson J. Ross Beveridge,"Abstract Template matching is an effective means of locating vehicles in outdoor scenes, but it tends to be a computationally expensive. To reduce processing time, we use large neural networks to predict, or index, a small subset of templates that are likely to match each window in an image. Results on actual LADAR range images show that limiting the templates to those selected by the neural networks reduces the computation time by a factor of 5 without sacrificing the accuracy of the results.",Department of Computer Science Colorado State University,"Fort Collins, CO 80523",3
283,Internet Telephony: A (Partial) Research Agenda,Jonathan Rosenberg,,Bell Laboratories and Columbia U.,"Rm. 4C-526 101 Crawfords Corner Rd. Holmdel, NJ 07733",5
284,Mining Audit Data to Build Intrusion Detection Models,Wenke Lee Salvatore J. Stolfo Kui W. Mok,"Abstract In this paper we discuss a data mining framework for constructing intrusion detection models. The key ideas are to mine system audit data for consistent and useful patterns of program and user behavior, and use the set of relevant system features presented in the patterns to compute (inductively learned) classifiers that can recognize anomalies and known intrusions. Our past experiments showed that classifiers can be used to detect intrusions, provided that sufficient audit data is available for training and the right set of system features are selected. We propose to use the association rules and frequent episodes computed from audit data as the basis for guiding the audit data gathering and feature selection processes. We modify these two basic algorithms to use axis attribute(s) as a form of item constraints to compute only the relevant (useful) patterns, and an iterative level-wise approximate mining procedure to uncover the low frequency (but important) patterns. We report our experiments in using these algorithms on real-world audit data.",Computer Science Department Columbia University,"500 West 120th Street, New York, NY 10027",4
285,Learning Distributions from Random Walks,Funda Ergun S Ravi Kumar,"Abstract We introduce a new model of distributions generated by random walks on graphs. This model suggests a variety of learning problems, using the definitions and models of distribution learning defined in [6]. Our framework is general enough to model previously studied distribution learning problems, as well as to suggest new applications. We describe special cases of the general problem, and investigate their relative difficulty. We present algorithms to solve the learning problem under various conditions.",Department of Computer Science Cornell University,"Ithaca, NY 14853.",4
286,Embedded Machine Learning Systems for Natural Language Processing: A General Framework,Claire Cardie,"Abstract. This paper presents Kenmore, a general framework for knowledge acquisition for natural language processing (NLP) systems. To ease the acquisition of knowledge in new domains, Kenmore exploits an online corpus using robust sentence analysis and embedded symbolic machine learning techniques while requiring only minimal human intervention. By treating all problems in ambiguity resolution as classification tasks, the framework uniformly addresses a range of subproblems in sentence analysis, each of which traditionally had required a separate computational mechanism. In a series of experiments, we demonstrate the successful use of Kenmore for learning solutions to several problems in lexical and structural ambiguity resolution. We argue that the learning and knowledge acquisition components should be embedded components of the NLP system in that (1) learning should take place within the larger natural language understanding system as it processes text, and (2) the learning components should be evaluated in the context of prac tical language-processing tasks.","Department of Computer Science, Cornell University,","Ithaca NY 14853, USA",6
287,On-Line Search in a Simple Polygon,Jon M. Kleinberg,"Abstract We consider a number of search and exploration problems, from the perspective of robot navigation in a simple polygon. These problems are ""on-line"" in the sense that the robot does not have access to the map of the polygon; it must make decisions as it proceeds, based only on what it has seen so far. For the problem of exploring a simple rectilinear polygon (under the L 1 norm), Deng, Kameda, and Papadimitriou give a 2-competitive deterministic algorithm; we present a randomized exploration algorithm which is 5=4-competitive. Using similar techniques, we are able to give an algorithm for searching an arbitrary, unknown rectilinear polygon. No constant competitive ratio is attainable in this case, but our algorithm is within a constant factor of optimal in the worst case; in a sense, it is a generalization of some of the strategies of Baeza-Yates, Culberson, and Rawlins to a much more general class of search spaces. Finally, we examine a type of polygon for which competitive search is possible | the class of ""streets"" considered by Klein, who gave a 1 + 3 2 -competitive algorithm for the search problem in this case. We present a simple algorithm with a competitive ratio of at most q p 8 (~ 2:61); in rectilinear streets it achieves the optimal competitive ratio of 2.",,,4
288,Experimental Study of Minimum Cut Algorithms,Chandra S. Chekuri,"Abstract Recently, several new algorithms have been developed for the minimum cut problem. These algorithms are very different from the earlier ones and from each other and substantially improve worst-case time bounds for the problem. We conduct experimental evaluation the relative performance of these algorithms. In the process, we develop heuristics and data structures that substantially improve practical performance of the algorithms. We also develop problem families for testing minimum cut algorithms. Our work leads to a better understanding of practical performance of the minimum cut algorithms and produces very efficient codes for the problem.",Computer Science Department Stanford University,"Stanford, CA 94305",1
289,Agent Tcl: Alpha Release 1.1,Robert S. Gray,"Abstract Agent Tcl is a transportable agent system. The agents are written in an extended version of the Tool Command Lanuage (Tcl). Each agent can suspend its execution at an arbitrary point, transport to another machine and resume execution on the new machine. This migration is accomplished with the agent jump command. agent jump captures the current state of the Tcl script and transfers this state to the destination machine. The state is restored on the new machine and the Tcl script continues its execution from the command immediately after the agent jump. In addition to migration, agents can send messages to each other and can establish direct connections. A direct connection is more efficient than message passing for bulk data transfer. Finally, agents can use the Tk toolkit to create graphical user interfaces on their current machine. Agent Tcl is implemented as two components. The first component is an extended Tcl interpreter. The second component is a server which runs on each machine. The server accepts incoming agents, messages and connection requests and keeps track of the agents that are running on its machine. An alpha release of Agent Tcl is available for public use. This documentation describes how to obtain and compile the source code, how to run the server and how to write transportable agents.",Department of Computer Science Dartmouth College,"Hanover, NH 03755",0
290,A Hyperconcentrator Switch for Routing Bit-Serial Messages,Thomas H. Cormen  Charles E. Leiserson,,Laboratory for Computer Science Massachusetts Institute of Technology,"Cambridge, Massachusetts 02139",2
